Medicine Name,Abdomen,Abdomen and Stool,Alimentary Canal,Antidotes,Aur mur kali,Back,Back and Extremities,Back and extremities,Bones,Bowels,Calc mur,Cardio-Vascular,Caution,Chest,Circulatory Organs,Compare: Aqua calcar,"Compare: Black Gunpowder 3x (Abscesses, boils, carbuncles, limb purple. Wounds that refuse to heal; accident from bad food or water","Compare: Calcar hypophosphorosa (is to be preferred when it seems necessary to furnish the organism with liberal doses of phosphorus in consequence of continued abscesses having reduced the vitality. Give first and second decimal trits. Loss of appetite, rapid debility, night sweats; Acne pustulosa",Compare: Electricitas,"Compare: Iris florentina-Orris-root--(delirium, convulsions, and paralysis); Iris factissima (headache and hernia); Iris germanica-Blue Garden Iris--(dropsy and freckles); Iris tenax-I. minor--(dry mouth; deathly sensation at point of stomach, pain in ileo-caecal region; appendicitis. Pain from adhesions after). Pancreatinum-a combination of several enzymes--(Indicated in intestinal indigestion; pain an hour or more after eating. Lienteric diarrhoea. Dose",Compare: Pimpinello--(Bibernell),"Compare: Sanguisorba (Venous congestion and passive haemorrhages; varices of lower extremities; dysentery. Long lasting profuse menses with congestion to head and limbs in sensitive, irritable patients. Climacteric haemorrhages. Use 2x attenuation). Sanguisuga","Daffodil bulbs contain an alkaloid the action of which, according to authorities, varies as to whether the alkaloid is extracted from the flowering bulb or from the bulb after flowering. Thus in the former case the alkaloid produces dryness of the mouth, checks cutaneous secretions, dilates the pupil of the eye, quickens the pulse, and slows and weakens the heart contractions. On the other hand, the alkaloid from the bulbs after flowering produces copious salivation, increases cutaneous secretion, contracts the pupil of the eye, produces slight relaxation of the pulse, and slight faintness and nausea",Doses,Ear,Ears,Extremities,Eye,Eyes,Eyes and Ears,Face,Female,Fever,Gastric,Gastro-Intestinal,Gastro-enteric Symptoms,Gastro-intestinal,General Symptoms,Genito-urinary,Head,Head and Stomach,Heart,Hyosc hydrobrom,Kidney,Liver,Magnetis Poli Ambo,Magnetis Polus Arcticus,Magnetis Polus Australis,Male,Mental,Mind,Mind and Head,Modalities,Modality,Mouth,Neck,Neck and Back,Nerves,Nervous,Nervous System,Non-Homeopathic Preparations and Uses,Non-Homeopathic Uses,Non-homeopathic Uses,Nose,Nose and throat,"On inhaling this drug, it rapidly dilates all arterioles an capillaries, producing flushings of face, heat, and throbbing in the head",Opium (crude),Physiologic Dosage,Potassium Permanganate for Morphine Poisoning,Rectum,Rectum and Stool,Respiration,Respiratory,Respiratory Organs,Sexual,Skin,Sleep,Spleen,Stomach,Stomach and Abdomen,Stool,Stool and Anus,Stools,"The remedy for hperchlorhydria. In cases where albuminoid digestion is too rapid and starch digestion is perverted. The gastric symptoms with the most pronounced acidity are well authenticated, and are the guiding symptoms. The acidity of Robinia is accompanied by frontal headache. Intensely acrid eructations. Acrid and greenish vomiting, colic and flatulence, nightly burning pains in stomach and constipation with urgent desire",Throat,Tissues,Tongue,Urinary,Urinary Organs,Urine,Uses,Vitex trifolia
SYMPHYTUM OFFICINALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pain in eye after a blow of an obtuse body. For traumatic injuries of the eyes no remedy equals this.,,,,,,,,,,,,"Pain in occiput, top and forehead; changing places. Pain comes down bone of nose. Inflammation of inferior maxillary bone, hard, red, swelling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYPHILINUM,,,,,,,,,,,,,,,,,,,,,,,,,,Caries of ossicles in ear of syphilitic origin.,"Sciatica; worse at night; better about day-break. Rheumatism of shoulder-joint, at insertion of deltoid. Run-around. Severe pain in long bones. Redness and rawness between toes (Sil). Rheumatism, muscles are caked in hard knot or lumps. Always washing the hands. Indolent ulcers. Muscles contracted in hard knots.",,"Chronic, recurrent, phlyctenular inflammation of cornea; successive crops of phlyctenular and abrasions of epithelial layer of cornea; photophobia intense, lachrymation profuse. Lids swollen; pain intense at night; ptosis. Tubercular iritis. Diplopia; one image seen below the other. Feeling of cold air blowing on eye (Fluor ac).",,,"Ulcers on labia. Leucorrhoea profuse, thin, watery, acrid, with sharp, knife-pain in ovaries.",,,,,,,,"Linear pains from temple across, or from eyes backward; cause sleeplessness and delirium at night. Falling of the hair. Pain in bones of head. Top of head feels as if coming off. Stupefying cephalalgia.",,,,,,,,,,,"Loss of memory; remembers everything previous to his illness. Apathetic; feels as if going insane or being paralyzed. Fears the night, and the suffering from exhaustion on awakening. Hopeless; despairs of recovery.",,"Worse, at night, sundown to sunrise, seashore, in summer. Better, inland and mountains, during day, moving about slowly.",,"Teeth decay at gum; edges serrated, dwarfed. Tongue coated, teeth-indented; deep longitudinal cracks. Ulcers smart and burn. Excessive flow of saliva; it runs out of mouth when sleeping.",,,,,,,,,"Caries of nasal bones, hard palate and septum, with perforation; ozaena.",,,,,,"Feels tied up with strictures. Enemas very painful. Fissures, prolapse.",,,"Aphonia; chronic asthma in summer, wheezing and rattling (Tart emet). Cough dry, hard; worse at night; windpipe sensitive to touch (Lach). Lancinating pains from base of heart to apex at night.",,,"Reddish-brown eruption, with a disagreeable odor. Extreme emaciation.",,,Craves alcohol.,,,,,,,,,,,,,
SUMBULUS MOSCHATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ovarian neuralgia. Abdomen full, distended, and painful. Climacteric flushes.",,,,,,,,"Emotional and fidgety. Dull in morning, clear in evening. Mistakes in writing and adding. Comedones. Tenacious, yellow, mucus in nose.",,"Nervous palpitation. Neuralgia around left breast and left hypochondriac region. Cardiac asthma. Aching in left arm, heavy, numb an weary. Loses breath on any exertion. Pulse irregular.",,,,,,,,,,,"Worse, active exercise; left side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chocking constriction; constant swallowing. Belching of gas from stomach. Spasm of pharyngeal muscles. Tenacious mucus in throat.,,,Oily pellicle on surface of urine.,,,,
SYMPHORICARPUS RACEMOSUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SULPHUROSUM ACIDUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluor albus. Debility.,,,,,,,,"Anxious, furious, disposed to fight. Headache better by vomiting. Ringing in ears.",,,,,,,,,,,,,,,Ulcerative inflammation of mouth. Tongue red or bluish-red. Coated.,,,,,,,,,,,,,,,,,,"Persistent choking cough with copious expectoration. Hoarseness, constriction of chest. Difficult breathing.",,,,,,Loss of appetite. Obstinate constipation.,,,,,,,,,,,,,
SULPHURICUM ACIDUM,"Weak feeling, with dragging into the hips and small of back. Feeling as if hernia would protrude, especially left side.",,,,,,,,,,,,,,,,,,,,,,,,,,"Cramp-like paralytic contraction in arms, hands; jerking of fingers while writing.",,"Intra-ocular haemorrhage following traumatism. Great chemosis of conjunctiva, with aching and sharp pain.",,,"Menstruation early and profuse. Erosion of cervix in the aged; easily bleeding. Acrid, burning leucorrhoea, often of bloody mucus.",,,,,,,,"Right-sided neuralgia; painful shocks; skin feels pinched. Sensation as if brain was loose in forehead and falling from side to side (Bell; Rhus). Concussion of brain where skin is cold, body bathed in cold sweat. Compressive pain in side of occiput; relieved by holding the hands near the head. Pain of outer parts, as if there were subcutaneous ulceration; painful to touch. Thrust in right temple as if plug were pressed in.",,,,,,,,,,,"Fretful, impatient. Unwilling to answer questions; hurried.",,"Worse, from excess of heat or cold in forenoon and evening. Better, from warmth, and lying on affected side.",,Aphthae; gums bleed readily. Offensive breath. Pyorrhea.,,,,,,,,,,,,,,,"Piles; oozing dampness. Rectum feels as if it had a big ball. Diarrhoea, fetid, black, with sour odor of body, and empty faint feeling in abdomen.",,,"Respiration rapid with shooting in cervical muscles and movement of wings of nose; larynx moves up and down violently. Bronchitis in children with short, teasing cough.",,,"Bad effects from mechanical injuries, with bruises and livid skin. Ecchymosis. Petechiae. Purpura haemorrhagica. Livid, red, itching blotches. Haemorrhage of black blood from all outlets. Cicatrices turn red and blue and become painful. Chilblains with gangrenous tendency. Carbuncles, boils and other staphylococcic and streptococcic infections.",,,Heartburn; sour eructations; sets teeth on edge (Robin). Craving for alcohol. Water causes coldness of stomach; must be mixed with liquors. Relaxed feeling in stomach. Averse to smell of coffee. Sour vomiting. Desire for fresh food. Hiccough. Coldness of stomach relieved by applied heat Nausea with chilliness.,,,,,,,,,,,,,
SULPHUR IODATUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Itching on ears, nose, and in urethra. Papular eruption on face. Cold-sores on lips. Boils on neck. Barber's itch. Acne. Lichen planus. Arms covered with itching rash. Hair feels as if erect.",,,,,,,,,Uvula and tonsils enlarged and reddened. Swollen. Tongue thick. Parotid hypertrophied.,,,,,,,
SULPHUR,Very sensitive to pressure; internal feeling of rawness and soreness. Movements as of something alive (Croc; Thuj). Pain and soreness over liver. Colic after drinking.,,,,,Drawing pain between shoulders. Stiffness of nape. Sensation as if vertebrae glided over each other.,,,,,,,,,,,,,,,,,,,,"Whizzing in ears. Bad effects from the suppression of an otorrhoea. Oversensitive to odors. Deafness, preceded by exceedingly sensitive hearing; catarrhal deafness.","Trembling of hands. Hot, sweaty hands. Rheumatic pain in left shoulder. Heaviness; paretic feeling. Rheumatic gout, with itching. Burning in soles and hands at night. Sweat in armpits, smelling like garlic. Drawing and tearing in arms and hands. Stiffness of knees and ankles. Cannot walk erect; stoop-shouldered. Ganglion.",,"Burning ulceration of margin of lids. Halo around lamp-light. Heat and burning in eyes (Ars; Bell). Black motes before eyes. First stage of ulceration of cornea. Chronic ophthalmia, with much burning and itching. Parenchymatous keratitis. Cornea like ground glass.",,,"Pudenda itches. Vagina burns. Much offensive perspiration. Menses too late, short, scanty, and difficult; thick, black, acrid, making parts sore. Menses preceded by headache or suddenly stopped. Leucorrhoea, burning, excoriating. Nipples cracked; smart and burn.","Frequent flashes of heat. Violent ebullitions of heat throughout entire body. Dry skin and great thirst. Night sweat, on nape and occiput. Perspiration of single parts. Disgusting sweats. Remittent type.",,,,,,,"Constant heat on top of head (Cup sulph; Graph). Heaviness and fullness, pressure in temples. Beating headache; worse, stooping, and with vertigo. Sick headache recurring periodically. Tinea capitis, dry form. Scalp dry, falling of hair; worse, washing. Itching; scratching causes burning.",,,,,,,,,"Stitches in penis. Involuntary emissions. Itching of genitals when going to bed. Organs cold, relaxed and powerless.",,"Very forgetful. Difficult thinking. Delusions; thinks rags beautiful things-that he is immensely wealthy. Busy all the time. Childish peevishness in grown people. Irritable. Affections vitiated; very selfish, no regard for others. Religious melancholy. Averse to business; loafs-too lazy to arouse himself. Imagining giving wrong things to people, causing their death. Sulphur subjects are nearly always irritable, depressed, thin and weak, even with good appetite.",,"Worse, at rest, when standing, warmth in bed, washing, bathing, in morning, 11 am, night, from alcoholic stimulants, periodically. Better, dry, warm weather, lying on right side, from drawing up affected limbs.",,"Lips dry, bright red, burning. Bitter taste in morning. Jerks through teeth. Swelling of gums; throbbing pain. Tongue white, with red tip and borders.",,,,,,,,,Herpes across the nose. Nose stuffed indoors. Imaginary foul smells. Alae red and scabby. Chronic dry catarrh; dry scabs and readily bleeding. Polypus and adenoids.,,,,,,"Itching and burning of anus; piles dependent upon abdominal plethora. Frequent, unsuccessful desire; hard, knotty, insufficient. Child afraid on account of pain. Redness around the anus, with itching. Morning diarrhoea, painless, drives out of bed, with prolapsus recti. Haemorrhoids, oozing and belching.",,,"Oppression and burning sensation in chest. Difficult respiration; wants windows open. Aphonia. Heat, throughout chest. Red, brown spots all over chest. Loose cough; worse talking, morning, greenish, purulent, sweetish expectoration. Much rattling of mucus. Chest feels heavy; stitches, with heart feeling too large and palpitating pleuritic exudations. Use Tinctura sulphuris. Stitching pains shooting through to the back, worse lying on back or breathing deeply. Flushes of heat in chest rising to head. Oppression, as of a load on chest. Dyspnoea in middle of night, relieved by sitting up. Pulse more rapid in morning than in evening.",,,"Dry, scaly, unhealthy; every little injury suppurates. Freckles. Itching, burning; worse scratching and washing. Pimply eruption, pustules, rhagades, hang-nails. Excoriation, especially in folds (Lyc). Feeling of a band around bones. Skin affections after local medication. Pruritus, especially from warmth, is evening, often recurs in spring-time, in damp weather.","Talks, jerks, and twitches during sleep. Vivid dreams. Wakes up singing. Wakes frequently, and becomes wide awake suddenly. Catnaps; slightest noise awakens. Cannot sleep between 2 an 5 am.",,"Complete loss of, or excessive appetite. Putrid eructation. Food tastes too salty. Drinks much, eats little. Milk disagrees. Great desire for sweets (Arg nit). Great acidity, sour eructation. Burning, painful, weight-like pressure. Very weak and faint about 11 am; must have something to eat. Nausea during gestation. Water fills the patient up.",,,,,,"Pressure as from a lump, as from splinter, as of a hair. Burning, redness and dryness. Ball seems to rise and close pharynx.",,,,,"Frequent micturition, especially at night. Enuresis, especially in scrofulous, untidy children. Burning in urethra during micturition, lasts long after. Mucus and pus in urine; parts sore over which it passes. Must hurry, sudden call to urinate. Great quantities of colorless urine.",,
SULFONALUM,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ataxic movements, staggering gait; cold, weak, trembling; legs seem too heavy. Extreme restlessness; muscular twitchings. Knee-jerks disappear. Stiffness and paralysis of both legs. Anaesthesia of legs.",,,,,,,,,,,,,"Dropsy, stupid; pain on attempting to raise head. Double vision; heavy look about eyes; tinnitus, aphasia; tongue as if paralyzed. Eyes bloodshot and restless. Vertigo, unable to rise. Double vision; ptosis; tinnitus; dysphagia, difficult speech.",,,,,,,,,,,"Mental confusion, incoherency, illusions; apathetic. Alternation of happy, hopeful states with depression and weakness. Extreme irritability.",,,,,,,,,,,"As a hypnotic. Dose, ten to thirty grains in hot water. Takes about two hours to act.",,,,,,,,,,,Congestion of lungs; stertorous breathing. Sighing dyspnoea.,,,"Itching, bluish purpura. Erythema.","Fidgety, wakeful, drowsy. Insomnia.",,,,,,,,,,,"Albuminuria, with casts. Scanty. Pink color. Constant desire to urinate; scanty, brownish red. Haemato-porphyrinuria.",,,,
STRYCHNOS GAULTHERIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRYCHNINUM PHOSPHORICUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUCCINUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fear of trains and close places. Headache, lachrymation, sneezing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asthma, incipient phthisis, chronic bronchitis, pains in chest. Whooping-cough.",,,,,,,,,,,,,,,,,,,
STRYCHNINUM PURUM,"Sharp pain in abdominal muscles, griping pain in bowels.",,,,,Rigitidy of cervical muscles. Sharp pain in nape and down spine. Back stiff; violent jerks in spinal column. Icy sensation down spine.,,,,,,,,,,,,,,,,,,,,"Hearing very acute; burning, itching, and roaring in ears.","Limbs stiff. Rheumatism with stiff joints. Violent jerking, twitching, and trembling. Tetanic convulsions and opisthotonos; spasms provoked by slightest touch and attempt to move. Shocks in the muscles. Cramp-like pains.",,"Hot, painful, protruding, staring. Pupils dilated. Sparks before eyes. Spasmodic contraction of ocular muscles; twitching and trembling of lids.",,"Pale, anxious, livid. Jaws stiffened; lower jaw spasmodically closed.",Desire for coitus (Canth; Camph; Fl ac; Lach; Phos; Plat). Any touch on body excites a voluptuous sensation.,Cold chills down spine. Perspiration in a stream down head and chest. Lower extremities cold.,,,,,,,"Restless. Over-irritability. Full and bursting headache, with heat in eyes. Vertigo, with roaring in ears. Jerking of head forwards. Scalp sore. Itching of scalp and nape.",,,,,,,,,,,,,"Worse, morning; touch; noise; motion; after meals. Better, lying on back.",,,,,,,,,,,,,,,,,Feces discharged involuntarily during spasms. Very obstinate constipation.,,,"Spasm of muscles about larynx. Excessive dyspnoea. Sharp, contractive pains in muscles of chest. Persistent cough, recurring after influenza.",,,"Itching of whole body, especially nose. Icy sensation down the spine.",,,Constant retching. Violent vomiting. Nausea of pregnancy.,,,,,,"Dry, contracted; feeling of a lump. Deglutition impossible. Burning along and spasms of oesophagus. Violent itching in roof of mouth.",,,,,,,
STROPHANTHUS HISPIDUS,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swollen, dropsical. Anasarca.",,,,,Menorrhagia; uterine haemorrhage; uterus heavily congested. Aching pain through hips and thighs during climacteric.,,,,,,,,"Temporal pains with double vision, impaired sight; brilliant eyes, flushed face. Senile vertigo.",,"Pulse quickened. Heart's action weak, rapid irregular, due to muscular debility; and insufficiency. Cardiac pain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dyspnoea, especially on ascending. Lungs congested. Å’dema of lungs. Bronchial and cardiac asthma.",,,"Urticaria, especially more chronic forms.",,,Nausea with special disgust for alcohol and so aids in treatment of dipsomania. Seven drops of tincture.,,,,,,,,,Increased secretion; scanty and albuminous.,,,,
STRONTIUM CARBONICUM,Sticking in abdominal ring. Diarrhoea; worse at night; continuous urging; better towards morning. Burning in anus lasts a long time after stool (Ratanh). Uncomfortable fullness and swelling of abdomen.,,,,,,,,,,,,,,,,,,,,,,,,,,"Sciatica with oedema of ankle. Rheumatic pain in right shoulder. Rheumatism with diarrhoea. Gnawing as if in marrow of bones. Cramps in calves and soles. Chronic spasms, particularly of ankle-joint. Å’dematous swelling. Icy-cold feet. Rheumatic pains, especially in joints. Veins of hands engorged.",,"Burning and redness of eyes. Pain and lachrymation on using eyes, with dancing and chromatic alterations of objects looked at.",,,,"Heat, with aversion to uncover or undress.",,,,,,,"Vertigo with headache and nausea. Distensive pressure. Aches from nape of neck, spreading upwards; better wrapping head up warmly (Sil). Flushes in face; violent pulsating. Supraorbital neuralgia; pains increase and decrease slowly (Stann). Bloody crusts in nose. Face red; burns, itches. Itching, redness and burning of nose.",,,,,,,,,,,,,"Better immersing in hot water; worse, change of weather; from being quiet; when beginning to move; great sensitiveness to cold.",,,,,,,,,,,,,,,,,,,,,,,"Moist, itching, burning eruption; better in open air, especially warm sunshine. Sprains of ankle-joint, with oedema. Violent perspiration at night.",,,"Loss of appetite, aversion to meat, craves bread and beer. Food tasteless. Eructations after eating. Hiccough causes chest pains; cardialgia.",,,,,,,,,,,,,
STRAMONIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graceful, rhythmic motions. Convulsions of upper extremities and of isolated groups of muscles. Chorea; spasms partial, constantly changing. Violent pain in left hip. Trembling, twitching of tendons, staggering gait.",,"Seem prominent, staring wide open; pupils dilated. Loss of vision; complains that it is dark, and calls for light. Small objects look large. Parts of the body seem enormously swollen. Strabismus. All objects look black.",,"Hot, red; circumscribed redness of cheeks. Blood rushes to face; distorted. Expression of terror. Pale face.","Metrorrhagia, with loquacity, singing, praying. Puerperal mania, with characteristic mental symptoms and profuse sweatings. Convulsions after labor.","Profuse sweat, which does not relieve. Violent fever.",,,,,,,"Raises head frequently from the pillow. Pain in forehead and over eyebrows, beginning at 9 am; worse until noon. Boring pain, preceded by obscure vision. Rush of blood to head; staggers, with tendency to fall forward and to the left. Auditory hallucinations.",,,,,,,,,"Sexual erethism, with indecent speech and action. Hands constantly kept on genitals.",,"Devout, earnest, beseeching and ceaseless talking. Loquacious, garrulous, laughing, singing, swearing, praying, rhyming. Sees ghosts, hears voices, talks with spirits. Rapid changes from joy to sadness. Violent and lewd. Delusions about his identity; thinks himself tall, double, a part missing. Religious mania. Cannot bear solitude or darkness; must have light and company. Sight of water or anything glittering brings on spasms. Delirium, with desire to escape (Bell; Bry; Rhus).",,"Worse, in dark room, when alone, looking at bright or shining objects, after sleep, on swallowing. Better, from bright light, company, warmth.",,Dry; dribbling of viscid saliva. Aversion to water. Stammering. Risus sardonicus. Cannot swallow on account of spasm. Chewing motion.,,,,,,,,,,,,,,,,,,,,,"Shining red flash. Effects of suppressed eruption in scarlatina, with delirium, etc.","Awaken terrified; screams with fright. Deep snoring sleep. Sleepy, but cannot sleep (Bell).",,Food tastes like straw. Violent thirst. Vomiting of mucus and green bile.,,,,,,,,,,,"Suppression, bladder empty.",,
